date,price(USD)
1/17/2018,0.480423
1/18/2018,0.593239
1/19/2018,0.586826
1/20/2018,0.598119
1/21/2018,0.653467
1/22/2018,0.559888
1/23/2018,0.514352
1/24/2018,0.576263
1/25/2018,0.550764
1/26/2018,0.55454
1/27/2018,0.558062
1/28/2018,0.661919
1/29/2018,0.647782
1/30/2018,0.607354
1/31/2018,0.509461
2/1/2018,0.519383
2/2/2018,0.461756
2/3/2018,0.418332
2/4/2018,0.447139
2/5/2018,0.381815
2/6/2018,0.295635
2/7/2018,0.35601
2/8/2018,0.340409
2/9/2018,0.374397
2/10/2018,0.38729
2/11/2018,0.360629
2/12/2018,0.335346
2/13/2018,0.380143
2/14/2018,0.347633
2/15/2018,0.394789
2/16/2018,0.413734
2/17/2018,0.436889
2/18/2018,0.481088
2/19/2018,0.422276
2/20/2018,0.426294
2/21/2018,0.391426
2/22/2018,0.363656
2/23/2018,0.341099
2/24/2018,0.357943
2/25/2018,0.338516
2/26/2018,0.356728
2/27/2018,0.366952
2/28/2018,0.364864
3/1/2018,0.339976
3/2/2018,0.373657
3/3/2018,0.404781
3/4/2018,0.378781
3/5/2018,0.376595
3/6/2018,0.375588
3/7/2018,0.337471
3/8/2018,0.298525
3/9/2018,0.269369
3/10/2018,0.258741
3/11/2018,0.2599
3/12/2018,0.272
3/13/2018,0.260966
3/14/2018,0.246661
3/15/2018,0.221354
3/16/2018,0.196785
3/17/2018,0.198651
3/18/2018,0.1897
3/19/2018,0.189039
3/20/2018,0.206148
3/21/2018,0.212079
3/22/2018,0.207912
3/23/2018,0.208129
3/24/2018,0.21429
3/25/2018,0.212356
3/26/2018,0.211551
3/27/2018,0.21678
3/28/2018,0.2243
3/29/2018,0.223284
3/30/2018,0.188415
3/31/2018,0.185831
4/1/2018,0.195568
4/2/2018,0.186898
4/3/2018,0.199335
4/4/2018,0.211399
4/5/2018,0.187869
4/6/2018,0.185539
4/7/2018,0.180331
4/8/2018,0.19509
4/9/2018,0.199381
4/10/2018,0.187525
4/11/2018,0.19899
4/12/2018,0.208478
4/13/2018,0.234238
4/14/2018,0.242326
4/15/2018,0.257177
4/16/2018,0.267449
4/17/2018,0.271823
4/18/2018,0.274827
4/19/2018,0.36244
4/20/2018,0.383429
4/21/2018,0.405404
4/22/2018,0.41282
4/23/2018,0.423968
4/24/2018,0.435338
4/25/2018,0.457921
4/26/2018,0.407347
4/27/2018,0.43994
4/28/2018,0.416056
4/29/2018,0.440325
4/30/2018,0.465091
5/1/2018,0.480199
5/2/2018,0.504219
5/3/2018,0.490932
5/4/2018,0.490363
5/5/2018,0.482148
5/6/2018,0.451134
5/7/2018,0.437753
5/8/2018,0.408217
5/9/2018,0.391597
5/10/2018,0.378682
5/11/2018,0.381353
