date,price(USD)
12/30/2014,0.490338
12/31/2014,0.486608
1/1/2015,0.436241
1/2/2015,0.473272
1/3/2015,0.459173
1/4/2015,0.466618
1/5/2015,0.411376
1/6/2015,0.42162
1/7/2015,0.461614
1/8/2015,0.472087
1/9/2015,0.428426
1/10/2015,0.425966
1/11/2015,0.418943
1/12/2015,0.378873
1/13/2015,0.363763
1/14/2015,0.300409
1/15/2015,0.220121
1/16/2015,0.260538
1/17/2015,0.282024
1/18/2015,0.24873
1/19/2015,0.255703
1/20/2015,0.253765
1/21/2015,0.240656
1/22/2015,0.261508
1/23/2015,0.273993
1/24/2015,0.279997
1/25/2015,0.297115
1/26/2015,0.315818
1/27/2015,0.31654
1/28/2015,0.319018
1/29/2015,0.290276
1/30/2015,0.306139
1/31/2015,0.294042
2/1/2015,0.28361
2/2/2015,0.30081
2/3/2015,0.300962
2/4/2015,0.289054
2/5/2015,0.289486
2/6/2015,0.272327
2/7/2015,0.270831
2/8/2015,0.275459
2/9/2015,0.258768
2/10/2015,0.252897
2/11/2015,0.244507
2/12/2015,0.234869
2/13/2015,0.250009
2/14/2015,0.255242
2/15/2015,0.279862
2/16/2015,0.252583
2/17/2015,0.251008
2/18/2015,0.253632
2/19/2015,0.249056
2/20/2015,0.284644
2/21/2015,0.305391
2/22/2015,0.30275
2/23/2015,0.314207
2/24/2015,0.384864
2/25/2015,0.335048
2/26/2015,0.365299
2/27/2015,0.357521
2/28/2015,0.385549
3/1/2015,0.427313
3/2/2015,0.425727
3/3/2015,0.428695
3/4/2015,0.415367
3/5/2015,0.413275
3/6/2015,0.472445
3/7/2015,0.486154
3/8/2015,0.46557
3/9/2015,0.489531
3/10/2015,0.648228
3/11/2015,0.792159
3/12/2015,0.71549
3/13/2015,0.678898
3/14/2015,0.633491
3/15/2015,0.674561
3/16/2015,0.695199
3/17/2015,0.806746
3/18/2015,0.752673
3/19/2015,0.646906
3/20/2015,0.667179
3/21/2015,0.642876
3/22/2015,0.743241
3/23/2015,0.775314
3/24/2015,0.766937
3/25/2015,0.706427
3/26/2015,0.767811
3/27/2015,0.744401
3/28/2015,0.779336
3/29/2015,0.806605
3/30/2015,0.718821
3/31/2015,0.870559
4/1/2015,0.907474
4/2/2015,1.01
4/3/2015,0.977708
4/4/2015,0.940243
4/5/2015,0.857369
4/6/2015,0.877685
4/7/2015,0.788578
4/8/2015,0.818747
4/9/2015,0.755325
4/10/2015,0.759481
4/11/2015,0.804529
4/12/2015,0.826843
4/13/2015,0.800405
4/14/2015,0.697815
4/15/2015,0.65659
4/16/2015,0.673035
4/17/2015,0.678462
4/18/2015,0.658119
4/19/2015,0.69231
4/20/2015,0.662429
4/21/2015,0.68176
4/22/2015,0.631823
4/23/2015,0.57687
4/24/2015,0.596757
4/25/2015,0.572382
4/26/2015,0.563681
4/27/2015,0.556476
4/28/2015,0.566098
4/29/2015,0.484513
4/30/2015,0.49244
5/1/2015,0.502925
5/2/2015,0.500167
5/3/2015,0.495055
5/4/2015,0.498803
5/5/2015,0.468268
5/6/2015,0.471263
5/7/2015,0.458921
5/8/2015,0.474257
5/9/2015,0.4911
5/10/2015,0.51507
5/11/2015,0.561128
5/12/2015,0.513022
5/13/2015,0.476743
5/14/2015,0.4829
5/15/2015,0.495878
5/16/2015,0.546561
5/17/2015,0.597889
5/18/2015,0.558933
5/19/2015,0.534982
5/20/2015,0.51494
5/21/2015,0.512711
5/22/2015,0.467157
5/23/2015,0.45893
5/24/2015,0.470752
5/25/2015,0.479449
5/26/2015,0.46367
5/27/2015,0.448145
5/28/2015,0.425935
5/29/2015,0.444393
5/30/2015,0.441193
5/31/2015,0.446073
6/1/2015,0.451224
6/2/2015,0.454769
6/3/2015,0.454506
6/4/2015,0.453636
6/5/2015,0.476499
6/6/2015,0.504834
6/7/2015,0.526472
6/8/2015,0.515774
6/9/2015,0.543491
6/10/2015,0.493943
6/11/2015,0.479596
6/12/2015,0.461866
6/13/2015,0.470766
6/14/2015,0.487891
6/15/2015,0.495178
6/16/2015,0.505134
6/17/2015,0.507717
6/18/2015,0.502986
6/19/2015,0.503972
6/20/2015,0.514188
6/21/2015,0.537554
6/22/2015,0.526186
6/23/2015,0.540583
6/24/2015,0.526948
6/25/2015,0.509393
6/26/2015,0.503591
6/27/2015,0.483322
6/28/2015,0.489918
6/29/2015,0.469706
6/30/2015,0.493517
7/1/2015,0.499344
7/2/2015,0.498977
7/3/2015,0.492674
7/4/2015,0.492272
7/5/2015,0.506999
7/6/2015,0.522178
7/7/2015,0.507229
7/8/2015,0.51141
7/9/2015,0.514289
7/10/2015,0.4863
7/11/2015,0.520567
7/12/2015,0.539135
7/13/2015,0.631493
7/14/2015,0.571649
7/15/2015,0.562987
7/16/2015,0.541435
7/17/2015,0.536343
7/18/2015,0.535249
7/19/2015,0.528092
7/20/2015,0.538906
7/21/2015,0.549014
7/22/2015,0.586897
7/23/2015,0.573298
7/24/2015,0.566469
7/25/2015,0.575943
7/26/2015,0.569399
7/27/2015,0.580721
7/28/2015,0.596008
7/29/2015,0.61613
7/30/2015,0.58992
7/31/2015,0.58295
8/1/2015,0.574428
8/2/2015,0.588595
8/3/2015,0.62588
8/4/2015,0.595026
8/5/2015,0.61745
8/6/2015,0.615411
8/7/2015,0.728998
8/8/2015,0.742898
8/9/2015,0.676069
8/10/2015,0.686737
8/11/2015,0.656747
8/12/2015,0.603783
8/13/2015,0.615626
8/14/2015,0.575992
8/15/2015,0.611454
8/16/2015,0.613368
8/17/2015,0.619902
8/18/2015,0.610303
8/19/2015,0.488089
8/20/2015,0.541129
8/21/2015,0.59862
8/22/2015,0.567801
8/23/2015,0.552861
8/24/2015,0.542486
8/25/2015,0.433043
8/26/2015,0.490084
8/27/2015,0.495994
8/28/2015,0.465286
8/29/2015,0.476754
8/30/2015,0.476522
8/31/2015,0.465863
9/1/2015,0.467261
9/2/2015,0.457513
9/3/2015,0.468598
9/4/2015,0.459605
9/5/2015,0.470903
9/6/2015,0.481595
9/7/2015,0.505125
9/8/2015,0.498696
9/9/2015,0.517122
9/10/2015,0.506263
9/11/2015,0.497159
9/12/2015,0.495145
9/13/2015,0.464892
9/14/2015,0.458575
9/15/2015,0.483566
